Var1,Var2,Var3,Var4
1567044286000000000,-270488106,-425964322,388814392
1567044287000000000,-270488120,-425964338,388814407
1567044288000000000,-270488224,-425964305,388814399
1567044289000000000,-270488489,-425964186,388814360
1567044290000000000,-270488938,-425963974,388814309
1567044291000000000,-270489572,-425963705,388814258
1567044292000000000,-270490354,-425963411,388814216
1567044293000000000,-270491170,-425963096,388814161
1567044294000000000,-270491915,-425962795,388814108
1567044295000000000,-270492474,-425962549,388814056
1567044296000000000,-270492789,-425962403,388814026
1567044297000000000,-270492975,-425962288,388813978
1567044298000000000,-270493277,-425962144,388813904
1567044299000000000,-270493792,-425961926,388813774
1567044300000000000,-270494452,-425961655,388813608
1567044301000000000,-270495155,-425961387,388813482
1567044302000000000,-270495863,-425961125,388813422
1567044303000000000,-270496625,-425960878,388813435
1567044304000000000,-270497441,-425960617,388813445
1567044305000000000,-270498310,-425960348,388813439
1567044306000000000,-270499222,-425960062,388813438
1567044307000000000,-270500167,-425959802,388813429
1567044308000000000,-270501119,-425959543,388813417
1567044309000000000,-270502037,-425959279,388813401
1567044310000000000,-270502883,-425959014,388813371
1567044311000000000,-270503688,-425958751,388813347
1567044312000000000,-270504481,-425958496,388813324
1567044313000000000,-270505218,-425958287,388813323
1567044314000000000,-270505815,-425958091,388813315
1567044315000000000,-270506267,-425957920,388813318
1567044316000000000,-270506656,-425957778,388813329
1567044317000000000,-270506959,-425957666,388813347
1567044318000000000,-270507149,-425957610,388813364
1567044319000000000,-270507320,-425957572,388813394
1567044320000000000,-270507539,-425957485,388813358
1567044321000000000,-270507867,-425957417,388813222
1567044322000000000,-270508265,-425957500,388812956
1567044323000000000,-270508622,-425957737,388812504
1567044324000000000,-270508893,-425958186,388811902
1567044325000000000,-270509130,-425958788,388811197
1567044326000000000,-270509368,-425959447,388810417
1567044327000000000,-270509611,-425960117,388809664
1567044328000000000,-270509834,-425960742,388808941
1567044329000000000,-270510051,-425961340,388808293
1567044330000000000,-270510267,-425961933,388807706
1567044331000000000,-270510439,-425962431,388807098
1567044332000000000,-270510624,-425962983,388806535
1567044333000000000,-270510801,-425963542,388805927
1567044334000000000,-270511061,-425964174,388805376
1567044335000000000,-270511273,-425964753,388804725
1567044336000000000,-270511516,-425965398,388804130
1567044337000000000,-270511749,-425966033,388803508
1567044338000000000,-270511965,-425966657,388802862
1567044339000000000,-270512171,-425967243,388802190
1567044340000000000,-270512346,-425967798,388801488
1567044341000000000,-270512522,-425968296,388800846
1567044342000000000,-270512693,-425968770,388800338
1567044343000000000,-270512814,-425969136,388799903
1567044344000000000,-270512929,-425969454,388799641
1567044345000000000,-270512974,-425969571,388799454
1567044346000000000,-270513003,-425969694,388799298
1567044347000000000,-270513052,-425969875,388798999
1567044348000000000,-270513123,-425970149,388798534
