EpochIndex,EpochT,PrnSatellitesIndex,Pseudorange,Snr,SatPosX,SatPosY,SatPosZ,SatSystem,rec_bias,GT_x,GT_y,GT_z,cov
1,1567043229.06213,7,19954874.7349032,14,-1471582.09806662,10738209.4666784,18548352.986313,1,-0.00351985160727776,-2704489.31824038,-4260243.87682504,3887826.77051396,-1
1,1567043229.06213,8,20074521.1576316,32,-9721003.22608424,4522414.2274428,21778672.062539,1,-0.00351985160727776,-2704489.31824038,-4260243.87682504,3887826.77051396,-1
1,1567043229.06213,27,22234220.9530765,32,-15265929.061053,-7741534.92182655,23187327.7175648,1,-0.00351985160727776,-2704489.31824038,-4260243.87682504,3887826.77051396,-1
1,1567043229.06213,112,35810493.725711,28,-15082919.4648516,13052891.9945282,33989016.8624548,4,-0.00351985160727776,-2704489.31824038,-4260243.87682504,3887826.77051396,-1
1,1567043229.06213,132,20776881.2415497,33,-12388848.9168145,9234058.317353,18056090.7031846,4,-0.00351985160727776,-2704489.31824038,-4260243.87682504,3887826.77051396,-1
2,1567043230.06176,8,20075053.1706262,31,-9722058.43320735,4520053.53849999,21779852.3093359,1,-0.00351887389516965,-2704487.64752136,-4260244.71150702,3887826.94679119,0.744617119744
2,1567043230.06176,21,19522354.3400336,32,-17311288.4065779,10188444.8253449,5023618.53375096,1,-0.00351887389516965,-2704487.64752136,-4260244.71150702,3887826.94679119,0.7309908004
2,1567043230.06176,27,22234963.2283665,30,-15266896.4338836,-7744149.0396095,23186920.5927424,1,-0.00351887389516965,-2704487.64752136,-4260244.71150702,3887826.94679119,1.5330897124
2,1567043230.06176,111,36788824.1209528,10,-10904789.5902073,26260882.942807,-16929784.5197827,4,-0.00351887389516965,-2704487.64752136,-4260244.71150702,3887826.94679119,-1
2,1567043230.06176,112,35810611.7219713,28,-15084005.7937138,13052657.9478473,33988649.524757,4,-0.00351887389516965,-2704487.64752136,-4260244.71150702,3887826.94679119,0.719560296361
2,1567043230.06176,132,20777271.9529275,32,-12388861.1464581,9232161.32198669,18058235.7990359,4,-0.00351887389516965,-2704487.64752136,-4260244.71150702,3887826.94679119,0.649653732121
3,1567043231.06089,8,20075583.5726091,30,-9723113.30530524,4517692.85210422,21781031.9351103,1,-0.00351887389516965,-2704485.63361174,-4260245.69820381,3887827.18318902,-1
3,1567043231.06089,27,22235700.2866905,29,-15267863.4174758,-7746762.97017897,23186512.8141416,1,-0.00351887389516965,-2704485.63361174,-4260245.69820381,3887827.18318902,-1
3,1567043231.06089,111,36789281.0609522,12,-10903815.7270907,26260077.393651,-16931898.357452,4,-0.00351887389516965,-2704485.63361174,-4260245.69820381,3887827.18318902,-1
3,1567043231.06089,112,35810727.9762169,27,-15085091.6303752,13052424.1379838,33988281.8303262,4,-0.00351887389516965,-2704485.63361174,-4260245.69820381,3887827.18318902,-1
3,1567043231.06089,132,20777655.9682936,31,-12388872.9674922,9230264.15881542,18060380.4044506,4,-0.00351887389516965,-2704485.63361174,-4260245.69820381,3887827.18318902,-1
4,1567043232.0691,8,20076115.1925718,28,-9724167.91198746,4515332.27004518,21782210.8499043,1,-0.00351799413438288,-2704483.41378771,-4260246.77322095,3887827.46738342,0.745266170944
4,1567043232.0691,21,19522406.3024505,30,-17311389.6511686,10187469.8865087,5029918.63758339,1,-0.00351799413438288,-2704483.41378771,-4260246.77322095,3887827.46738342,0.731389275369
4,1567043232.0691,27,22236432.4929275,28,-15268830.081423,-7749376.61176857,23186104.291851,1,-0.00351799413438288,-2704483.41378771,-4260246.77322095,3887827.46738342,1.5342538225
4,1567043232.0691,111,36789738.6129897,11,-10902841.5221128,26259271.8752401,-16934012.3697595,4,-0.00351799413438288,-2704483.41378771,-4260246.77322095,3887827.46738342,-1
4,1567043232.0691,112,35810843.450452,25,-15086177.044434,13052190.6666437,33987913.6892433,4,-0.00351799413438288,-2704483.41378771,-4260246.77322095,3887827.46738342,0.720077833476
4,1567043232.0691,132,20778045.8996479,25,-12388884.4495767,9228366.92966168,18062524.4293764,4,-0.00351799413438288,-2704483.41378771,-4260246.77322095,3887827.46738342,0.650230964161
5,1567043233.07112,8,20076644.504897,28,-9725222.36113363,4512972.00544945,21783388.9768101,1,-0.00351633461931799,-2704481.24983853,-4260247.79436185,3887827.7633624,-1
5,1567043233.07112,27,22237166.0613827,29,-15269796.5335472,-7751989.75117391,23185694.9489919,1,-0.00351633461931799,-2704481.24983853,-4260247.79436185,3887827.7633624,-1
5,1567043233.07112,112,35810959.9839803,25,-15087262.1437331,13051957.7469207,33987545.0246144,4,-0.00351633461931799,-2704481.24983853,-4260247.79436185,3887827.7633624,-1
5,1567043233.07112,132,20778430.6562436,33,-12388895.7006207,9226469.84758485,18064667.796956,4,-0.00351633461931799,-2704481.24983853,-4260247.79436185,3887827.7633624,-1
5,1567043233.07112,135,21540029.5137806,29,-901610.756683901,18220293.6727488,2519765.86174445,4,-0.00351633461931799,-2704481.24983853,-4260247.79436185,3887827.7633624,-1
6,1567043234.06835,8,20077173.7775879,29,-9726277.19166068,4510612.17255457,21784566.2290126,1,-0.00351688487006579,-2704479.51324662,-4260248.61161523,3887828.00853404,0.745917232225
