Time,PosX,PosY,PosZ
1556456299.001,-18912.491973347212,-11070.894675306597,-15371.525345583297
1556456299.251,-18912.024700096008,-11070.993486841939,-15372.053497477431
1556456299.501,-18911.557412170205,-11071.09230471513,-15372.58162940283
1556456299.751,-18911.09010957053,-11071.191128926632,-15373.109741358829
1556456300.001,-18910.6227922977,-11071.289959476908,-15373.637833344783
1556456300.251,-18910.155460352442,-11071.38879636642,-15374.16590536002
1556456300.501,-18909.688113735472,-11071.487639595629,-15374.693957403902
1556456300.751,-18909.22075244752,-11071.586489165,-15375.221989475769
1556456301.001,-18908.7533764893,-11071.685345074991,-15375.750001574965
1556456301.251,-18908.285985861534,-11071.784207326069,-15376.277993700838
1556456301.501,-18907.81858056495,-11071.883075918697,-15376.805965852735
1556456301.751,-18907.35116060026,-11071.98195085333,-15377.333918029992
1556456302.001,-18906.883725968197,-11072.080832130432,-15377.861850231966
1556456302.251,-18906.41627666947,-11072.17971975047,-15378.389762457999
1556456302.501,-18905.948812704817,-11072.278613713901,-15378.917654707446
1556456302.751,-18905.481334074946,-11072.377514021187,-15379.445526979634
1556456303.001,-18905.013840780583,-11072.476420672794,-15379.97337927392
1556456303.251,-18904.546332822454,-11072.575333669181,-15380.50121158965
1556456303.501,-18904.078810201274,-11072.67425301081,-15381.029023926167
1556456303.751,-18903.611272917773,-11072.77317869814,-15381.556816282824
1556456304.001,-18903.143720972665,-11072.872110731638,-15382.08458865896
1556456304.251,-18902.67615436668,-11072.971049111762,-15382.612341053922
1556456304.501,-18902.20857310053,-11073.069993838977,-15383.140073467053
1556456304.751,-18901.740977174948,-11073.16894491374,-15383.667785897705
1556456305.001,-18901.273366590653,-11073.267902336516,-15384.195478345224
1556456305.251,-18900.805741348362,-11073.366866107765,-15384.723150808957
1556456305.501,-18900.3381014488,-11073.465836227952,-15385.25080328824
1556456305.751,-18899.87044689269,-11073.564812697532,-15385.778435782431
1556456306.001,-18899.402777680756,-11073.663795516972,-15386.30604829087
1556456306.251,-18898.935093813718,-11073.76278468673,-15386.833640812903
1556456306.501,-18898.467395292297,-11073.86178020727,-15387.361213347882
1556456306.751,-18897.999682117217,-11073.960782079053,-15387.88876589515
1556456307.001,-18897.531954289203,-11074.059790302541,-15388.416298454049
1556456307.251,-18897.064211808975,-11074.158804878192,-15388.943811023935
1556456307.501,-18896.596454677252,-11074.25782580647,-15389.471303604143
1556456307.751,-18896.128682894763,-11074.356853087833,-15389.998776194025
1556456308.001,-18895.66089646223,-11074.455886722746,-15390.526228792929
1556456308.251,-18895.193095380364,-11074.554926711671,-15391.053661400201
1556456308.501,-18894.7252796499,-11074.653973055065,-15391.581074015183
1556456308.751,-18894.257449271558,-11074.753025753393,-15392.108466637226
1556456309.001,-18893.78960424606,-11074.852084807113,-15392.63583926568
1556456309.251,-18893.321744574125,-11074.951150216688,-15393.163191899883
1556456309.501,-18892.853870256484,-11075.050221982578,-15393.690524539186
1556456309.751,-18892.38598129385,-11075.149300105242,-15394.217837182936
1556456310.001,-18891.91807768695,-11075.248384585146,-15394.745129830477
1556456310.251,-18891.450159436507,-11075.347475422746,-15395.272402481161
1556456310.501,-18890.98222654325,-11075.446572618508,-15395.799655134331
1556456310.751,-18890.514279007886,-11075.545676172887,-15396.326887789332
1556456311.001,-18890.04631683115,-11075.64478608635,-15396.854100445511
1556456311.251,-18889.578340013762,-11075.74390235935,-15397.381293102218
1556456311.501,-18889.11034855645,-11075.843024992357,-15397.9084657588
1556456311.751,-18888.642342459927,-11075.942153985823,-15398.435618414602
1556456312.001,-18888.17432172492,-11076.041289340215,-15398.962751068968
1556456312.251,-18887.706286352153,-11076.14043105599,-15399.48986372125
1556456312.501,-18887.238236342353,-11076.239579133611,-15400.016956370797
1556456312.751,-18886.770171696233,-11076.338733573539,-15400.544029016946
1556456313.001,-18886.302092414524,-11076.43789437623,-15401.071081659054
1556456313.251,-18885.83399849795,-11076.537061542149,-15401.598114296463
1556456313.501,-18885.36588994723,-11076.636235071754,-15402.125126928524
1556456313.751,-18884.897766763082,-11076.735414965508,-15402.652119554572
1556456314.001,-18884.42962894624,-11076.834601223869,-15403.17909217397
1556456314.251,-18883.961476497425,-11076.933793847298,-15403.70604478606
1556456314.501,-18883.493309417354,-11077.032992836257,-15404.232977390184
1556456314.751,-18883.025127706755,-11077.132198191204,-15404.759889985693
1556456315.001,-18882.55693136635,-11077.231409912602,-15405.286782571933
1556456315.251,-18882.08872039686,-11077.330628000907,-15405.813655148253
1556456315.501,-18881.620494799015,-11077.429852456582,-15406.340507714001
1556456315.751,-18881.15225457353,-11077.52908328009,-15406.867340268516
1556456316.001,-18880.683999721135,-11077.628320471886,-15407.39415281116
1556456316.251,-18880.215730242555,-11077.727564032433,-15407.920945341273
1556456316.501,-18879.747446138503,-11077.82681396219,-15408.447717858195
1556456316.751,-18879.27914740971,-11077.92607026162,-15408.974470361281
1556456317.001,-18878.8108340569,-11078.025332931176,-15409.501202849882
1556456317.251,-18878.342506080793,-11078.124601971325,-15410.027915323335
1556456317.501,-18877.874163482116,-11078.223877382525,-15410.554607780996
1556456317.751,-18877.40580626159,-11078.323159165235,-15411.081280222214
1556456318.001,-18876.937434419942,-11078.422447319916,-15411.607932646326
1556456318.251,-18876.46904795789,-11078.521741847027,-15412.13456505269
1556456318.501,-18876.000646876164,-11078.621042747027,-15412.661177440652
1556456318.751,-18875.532231175483,-11078.720350020378,-15413.187769809552
1556456319.001,-18875.063800856573,-11078.819663667538,-15413.714342158746
1556456319.251,-18874.59535592015,-11078.918983688967,-15414.240894487579
1556456319.501,-18874.126896366957,-11079.018310085125,-15414.767426795399
1556456319.751,-18873.6584221977,-11079.117642856474,-15415.293939081548
1556456320.001,-18873.18993341311,-11079.216982003469,-15415.820431345379
1556456320.251,-18872.721430013906,-11079.316327526574,-15416.346903586244
1556456320.501,-18872.252912000815,-11079.415679426245,-15416.873355803484
1556456320.751,-18871.784379374563,-11079.515037702944,-15417.399787996448
1556456321.001,-18871.31583213587,-11079.614402357129,-15417.92620016449
1556456321.251,-18870.847270285467,-11079.713773389261,-15418.452592306949
1556456321.501,-18870.37869382407,-11079.813150799797,-15418.978964423179
1556456321.751,-18869.91010275241,-11079.912534589203,-15419.505316512521
1556456322.001,-18869.441497071202,-11080.011924757928,-15420.031648574335
1556456322.251,-18868.972876781176,-11080.111321306438,-15420.557960607955
