Time,PosX,PosY,PosZ
1556456299.001,-14789.363465671231,10518.482499317925,17993.179208595397
1556456299.251,-14789.965178249207,10518.616514492545,17992.60915667729
1556456299.501,-14790.566868784637,10518.750539404253,17992.03907790278
1556456299.751,-14791.16853727648,10518.884574052094,17991.468972272727
1556456300.001,-14791.770183723682,10519.018618435111,17990.89883978798
1556456300.251,-14792.371808125201,10519.152672552353,17990.328680449406
1556456300.501,-14792.973410479983,10519.286736402859,17989.758494257854
1556456300.751,-14793.57499078698,10519.420809985673,17989.188281214185
1556456301.001,-14794.17654904515,10519.554893299844,17988.618041319252
1556456301.251,-14794.778085253445,10519.68898634441,17988.047774573923
1556456301.501,-14795.379599410808,10519.82308911842,17987.477480979043
1556456301.751,-14795.981091516198,10519.957201620913,17986.907160535477
1556456302.001,-14796.582561568568,10520.091323850938,17986.336813244074
1556456302.251,-14797.184009566874,10520.225455807536,17985.766439105704
1556456302.501,-14797.785435510064,10520.35959748975,17985.196038121212
1556456302.751,-14798.386839397088,10520.493748896626,17984.62561029146
1556456303.001,-14798.988221226904,10520.627910027208,17984.055155617305
1556456303.251,-14799.589580998461,10520.762080880537,17983.484674099607
1556456303.501,-14800.190918710712,10520.896261455655,17982.91416573922
1556456303.751,-14800.792234362616,10521.030451751612,17982.343630537
1556456304.001,-14801.393527953118,10521.164651767449,17981.773068493814
1556456304.251,-14801.994799481181,10521.298861502206,17981.20247961051
1556456304.501,-14802.596048945743,10521.433080954928,17980.631863887946
1556456304.751,-14803.19727634577,10521.56731012466,17980.061221326985
1556456305.001,-14803.798481680213,10521.701549010442,17979.490551928484
1556456305.251,-14804.399664948018,10521.835797611322,17978.919855693297
1556456305.501,-14805.000826148145,10521.97005592634,17978.349132622287
1556456305.751,-14805.601965279548,10522.10432395454,17977.778382716304
1556456306.001,-14806.203082341177,10522.238601694966,17977.20760597621
1556456306.251,-14806.804177331986,10522.372889146658,17976.636802402867
1556456306.501,-14807.405250250933,10522.507186308661,17976.06597199713
1556456306.751,-14808.006301096968,10522.641493180021,17975.49511475985
1556456307.001,-14808.607329869043,10522.775809759773,17974.924230691897
1556456307.251,-14809.208336566116,10522.910136046967,17974.35331979412
1556456307.501,-14809.809321187138,10523.044472040643,17973.782382067384
1556456307.751,-14810.41028373106,10523.178817739845,17973.211417512543
1556456308.001,-14811.011224196845,10523.313173143613,17972.640426130452
1556456308.251,-14811.612142583435,10523.447538250992,17972.069407921976
1556456308.501,-14812.2130388898,10523.581913061025,17971.49836288797
1556456308.751,-14812.813913114875,10523.716297572752,17970.927291029297
1556456309.001,-14813.414765257628,10523.850691785217,17970.356192346804
1556456309.251,-14814.01559531701,10523.985095697462,17969.78506684136
1556456309.501,-14814.61640329197,10524.119509308532,17969.213914513817
1556456309.751,-14815.217189181472,10524.253932617466,17968.64273536504
1556456310.001,-14815.817952984464,10524.388365623308,17968.071529395882
1556456310.251,-14816.4186946999,10524.5228083251,17967.500296607202
1556456310.501,-14817.01941432674,10524.657260721882,17966.929036999863
1556456310.751,-14817.62011186393,10524.7917228127,17966.35775057472
1556456311.001,-14818.220787310434,10524.926194596595,17965.78643733263
1556456311.251,-14818.8214406652,10525.060676072606,17965.215097274457
1556456311.501,-14819.422071927183,10525.195167239777,17964.643730401054
1556456311.751,-14820.022681095346,10525.32966809715,17964.07233671328
1556456312.001,-14820.623268168634,10525.464178643771,17963.500916212
1556456312.251,-14821.223833146007,10525.598698878674,17962.92946889807
1556456312.501,-14821.824376026416,10525.733228800906,17962.35799477235
1556456312.751,-14822.424896808825,10525.867768409506,17961.786493835694
1556456313.001,-14823.025395492179,10526.002317703518,17961.21496608896
1556456313.251,-14823.625872075434,10526.136876681983,17960.643411533016
1556456313.501,-14824.226326557553,10526.271445343942,17960.071830168712
1556456313.751,-14824.826758937488,10526.406023688438,17959.500221996914
1556456314.001,-14825.427169214196,10526.54061171451,17958.92858701848
1556456314.251,-14826.027557386624,10526.675209421202,17958.356925234268
1556456314.501,-14826.627923453732,10526.809816807552,17957.785236645133
1556456314.751,-14827.228267414488,10526.944433872606,17957.21352125194
1556456315.001,-14827.828589267829,10527.079060615402,17956.641779055546
1556456315.251,-14828.42888901272,10527.213697034984,17956.070010056806
1556456315.501,-14829.029166648113,10527.34834313039,17955.49821425659
1556456315.751,-14829.62942217297,10527.482998900661,17954.92639165575
1556456316.001,-14830.229655586238,10527.617664344842,17954.354542255143
1556456316.251,-14830.829866886885,10527.75233946197,17953.78266605564
1556456316.501,-14831.430056073852,10527.88702425109,17953.210763058087
1556456316.751,-14832.03022314611,10528.021718711236,17952.638833263347
1556456317.001,-14832.630368102604,10528.156422841457,17952.066876672285
