Time,Lat,Long,Alt
1567044276.18482208251953125,37.8024869,-122.4160784,-6.842
1567044277.1850249767303466796875,37.8024782,-122.416147,-6.429
1567044278.1852281093597412109375,37.8024735,-122.416186,-6.257
1567044279.185431003570556640625,37.80247,-122.4162109,-6.534
1567044280.185634136199951171875,37.8024625,-122.4162486,-6.662
1567044281.1858370304107666015625,37.8024482,-122.4163112,-6.732
1567044282.186038970947265625,37.8024294,-122.4163909,-6.762
1567044283.1862409114837646484375,37.8024121,-122.4164746,-6.343
1567044284.1864430904388427734375,37.8023991,-122.4165585,-5.463
1567044285.186645030975341796875,37.802389,-122.4166465,-3.799
1567044286.1868469715118408203125,37.8023777,-122.4167407,-2.024
1567044287.18704986572265625,37.8023641,-122.4168404,-0.179
1567044288.187252044677734375,37.8023504,-122.4169451,1.775
1567044289.1874530315399169921875,37.8023339,-122.4170516,3.984
1567044290.187654972076416015625,37.8023169,-122.4171586,6.214
1567044291.1878559589385986328125,37.8023009,-122.4172627,8.253
1567044292.1880588531494140625,37.8022861,-122.4173599,9.885
1567044293.1882610321044921875,37.8022728,-122.4174531,11.392
1567044294.18846416473388671875,37.8022596,-122.4175446,12.902
1567044295.1886651515960693359375,37.8022474,-122.4176279,14.627
1567044296.188867092132568359375,37.8022383,-122.4176971,15.804
1567044297.1890699863433837890625,37.8022331,-122.4177508,16.594
1567044298.1892721652984619140625,37.802229,-122.4177968,17.353
1567044299.1894729137420654296875,37.8022265,-122.4178326,18.01
1567044300.189673900604248046875,37.8022247,-122.4178543,18.545
1567044301.1898748874664306640625,37.8022236,-122.417873,19.199
1567044302.1900768280029296875,37.8022186,-122.4178993,19.321
1567044303.1902790069580078125,37.8022024,-122.4179348,19.429
1567044304.1904790401458740234375,37.8021678,-122.4179679,20.032
1567044305.190680027008056640625,37.8021139,-122.4179877,20.359
1567044306.1908810138702392578125,37.8020422,-122.4179863,20.806
1567044307.191082000732421875,37.8019569,-122.4179725,21.511
1567044308.1912839412689208984375,37.8018636,-122.4179552,22.13
1567044309.191484928131103515625,37.8017716,-122.4179377,23.011
1567044310.1916859149932861328125,37.8016844,-122.417921,23.691
1567044311.1918871402740478515625,37.801604,-122.4179054,24.628
1567044312.1920859813690185546875,37.8015281,-122.41789,25.907
1567044313.1922891139984130859375,37.8014565,-122.4178761,26.229
1567044314.1924889087677001953125,37.8013852,-122.4178603,27.237
1567044315.1926882266998291015625,37.8013107,-122.4178432,27.996
1567044316.192883968353271484375,37.8012343,-122.4178297,29.94
1567044317.1930849552154541015625,37.8011546,-122.4178148,30.706
1567044318.1932830810546875,37.8010751,-122.4177988,32.387
1567044319.1934831142425537109375,37.8009943,-122.4177824,33.8
1567044320.1936829090118408203125,37.8009128,-122.4177652,34.917
1567044321.19388484954833984375,37.8008316,-122.4177493,35.576
1567044322.19408893585205078125,37.8007505,-122.4177323,35.718
1567044323.1942920684814453125,37.8006764,-122.4177188,35.852
1567044324.194492816925048828125,37.8006131,-122.4177063,36.626
1567044325.1946938037872314453125,37.8005615,-122.4176957,36.912
1567044326.1948931217193603515625,37.8005246,-122.4176873,37.915
1567044327.195095062255859375,37.8005045,-122.4176845,37.737
1567044328.1952970027923583984375,37.8004868,-122.4176799,37.725
1567044329.1955001354217529296875,37.8004556,-122.4176735,37.31
1567044330.195703029632568359375,37.8004077,-122.4176637,36.589
1567044331.195906162261962890625,37.8003438,-122.4176503,36.394
1567044332.19610691070556640625,37.8002655,-122.4176334,36.661
1567044333.1963059902191162109375,37.800183,-122.4176155,38.582
1567044334.196504116058349609375,37.8000993,-122.4176004,41.668
1567044335.19670391082763671875,37.8000174,-122.4175854,44.221
1567044336.1969039440155029296875,37.7999356,-122.4175679,46.612
1567044337.197105884552001953125,37.7998559,-122.4175503,48.406
1567044338.1973078250885009765625,37.7997832,-122.4175343,50.008
1567044339.1975100040435791015625,37.7997199,-122.4175231,51.293
1567044340.19770908355712890625,37.799671,-122.4175114,53.363
1567044341.197908878326416015625,37.7996327,-122.4175013,54.547
1567044342.1981098651885986328125,37.7995973,-122.4174895,55.355
1567044343.1983091831207275390625,37.7995667,-122.4174789,56.917
1567044344.1985070705413818359375,37.7995502,-122.4174732,58.417
1567044345.1987111568450927734375,37.7995354,-122.4174759,57.93
1567044346.198913097381591796875,37.7995115,-122.4174794,58.037
1567044347.1991150379180908203125,37.7994816,-122.4174959,57.512
1567044348.19931697845458984375,37.7994534,-122.4175372,57.371
1567044349.199520111083984375,37.7994279,-122.4176057,56.626
1567044350.1997230052947998046875,37.7994097,-122.4176861,56.301
1567044351.199925899505615234375,37.7993979,-122.4177768,56.103
1567044352.2001268863677978515625,37.7993865,-122.4178707,56.318
1567044353.20032787322998046875,37.7993746,-122.4179683,56.64
1567044354.2005298137664794921875,37.7993623,-122.4180656,56.689
1567044355.2007319927215576171875,37.7993492,-122.4181588,56.148
1567044356.200933933258056640625,37.7993366,-122.4182477,55.675
1567044357.201136112213134765625,37.7993214,-122.4183369,54.948
1567044358.2013370990753173828125,37.7993101,-122.4184292,54.358
1567044359.20153713226318359375,37.7992974,-122.4185237,53.554
1567044360.2017390727996826171875,37.7992859,-122.4186199,52.282
