Time,PosX,PosY,PosZ
1567044285.496,-18012.205894606926,-7077.739799927207,18132.010847396785
1567044285.746,-18012.464449954103,-7078.261958503106,18131.56295183169
1567044285.996,-18012.723006269687,-7078.784100550958,18131.115032047026
1567044286.246,-18012.981563552854,-7079.306226070141,18130.667088043436
1567044286.496,-18013.240121802774,-7079.828335060149,18130.219119821544
1567044286.746,-18013.498681018624,-7080.350427520378,18129.771127381966
1567044286.996,-18013.757241199542,-7080.8725034503805,18129.323110725334
1567044287.246,-18014.015802344722,-7081.39456284944,18128.875069852256
1567044287.496,-18014.274364453275,-7081.916605717201,18128.427004763354
1567044287.746,-18014.532927524386,-7082.438632053025,18127.978915459258
1567044287.996,-18014.791491557255,-7082.96064185632,18127.530801940586
1567044288.246,-18015.050056550965,-7083.482635126558,18127.082664207977
1567044288.496,-18015.30862250477,-7084.004611863245,18126.634502262023
1567044288.746,-18015.567189417732,-7084.526572065824,18126.186316103376
1567044288.996,-18015.825757289072,-7085.048515733644,18125.738105732635
1567044289.246,-18016.08432611797,-7085.570442866279,18125.289871150424
1567044289.496,-18016.342895903515,-7086.0923534631365,18124.841612357388
1567044289.746,-18016.601466644952,-7086.614247523605,18124.393329354134
1567044289.996,-18016.860038341365,-7087.136125047287,18123.945022141284
1567044290.246,-18017.11861099198,-7087.6579860334605,18123.49669071945
1567044290.496,-18017.377184595927,-7088.179830481662,18123.048335089286
1567044290.746,-18017.63575915235,-7088.7016583913355,18122.59995525138
1567044290.996,-18017.894334660457,-7089.2234697619715,18122.151551206363
1567044291.246,-18018.152911119345,-7089.745264592937,18121.703122954874
1567044291.496,-18018.41148852826,-7090.267042883697,18121.25467049754
1567044291.746,-18018.670066886276,-7090.788804633798,18120.806193834946
1567044291.996,-18018.928646192617,-7091.310549842572,18120.357692967747
1567044292.246,-18019.187226446433,-7091.832278509566,18119.909167896563
1567044292.496,-18019.445807646836,-7092.353990634132,18119.460618622004
1567044292.746,-18019.70438979303,-7092.875686215841,18119.0120451447
1567044292.996,-18019.96297288419,-7093.397365254066,18118.56344746528
1567044293.246,-18020.221556919463,-7093.919027748234,18118.114825584362
1567044293.496,-18020.48014189798,-7094.440673697871,18117.666179502557
1567044293.746,-18020.738727818927,-7094.96230310242,18117.2175092205
1567044293.996,-18020.99731468146,-7095.483915961235,18116.76881473881
